type,lane,d,v,delta_crash,P_lC,P_nlC
1,1,26,20,1.3,0.29,0.71
1,1,26,21,1.24,0.3,0.7
1,1,26,22,1.18,0.32,0.68
1,1,26,23,1.13,0.33,0.67
1,1,26,24,1.08,0.34,0.66
1,1,26,25,1.04,0.34,0.66
1,1,26,26,1,0.35,0.65
1,1,26,27,0.96,0.36,0.64
1,1,26,28,0.93,0.36,0.64
1,1,26,29,0.9,0.37,0.63
1,1,26,30,0.87,0.37,0.63
1,1,26,31,0.84,0.38,0.62
1,1,26,32,0.81,0.38,0.62
1,1,26,33,0.79,0.38,0.62
1,1,26,34,0.76,0.39,0.61
1,1,27,15,1.8,0.17,0.83
1,1,27,16,1.69,0.2,0.8
1,1,27,17,1.59,0.22,0.78
1,1,27,18,1.5,0.24,0.76
1,1,27,19,1.42,0.26,0.74
1,1,27,20,1.35,0.28,0.72
1,1,27,21,1.29,0.29,0.71
1,1,27,22,1.23,0.31,0.69
1,1,27,23,1.17,0.32,0.68
1,1,27,24,1.13,0.33,0.67
1,1,27,25,1.08,0.34,0.66
1,1,27,26,1.04,0.35,0.65
1,1,27,27,1,0.35,0.65
1,1,27,28,0.96,0.36,0.64
1,1,27,29,0.93,0.36,0.64
1,1,27,30,0.9,0.37,0.63
1,1,27,31,0.87,0.37,0.63
1,1,27,32,0.84,0.38,0.62
1,1,27,33,0.82,0.38,0.62
1,1,27,34,0.79,0.38,0.62
1,1,28,15,1.87,0.16,0.84
1,1,28,16,1.75,0.18,0.82
1,1,28,17,1.65,0.21,0.79
1,1,28,18,1.56,0.23,0.77
1,1,28,19,1.47,0.25,0.75
1,1,28,20,1.4,0.27,0.73
1,1,28,21,1.33,0.28,0.72
1,1,28,22,1.27,0.3,0.7
1,1,28,23,1.22,0.31,0.69
1,1,28,24,1.17,0.32,0.68
1,1,28,25,1.12,0.33,0.67
1,1,28,26,1.08,0.34,0.66
1,1,28,27,1.04,0.35,0.65
1,1,28,28,1,0.35,0.65
1,1,28,29,0.97,0.36,0.64
1,1,28,30,0.93,0.36,0.64
1,1,28,31,0.9,0.37,0.63
1,1,28,32,0.88,0.37,0.63
1,1,28,33,0.85,0.38,0.62
1,1,28,34,0.82,0.38,0.62
